일련번호,의료기관명,병상수,소재지,설립구분,개설일자,전화번호,데이터기준일자
47,키즈웰소아청소년과병원,56,"창원시 마산회원구 용마로 130, 메트로센텀 5,11층 (양덕동)",민간,2019-11-28,055-715-2500,2023-12-31
48,양덕서울아동병원,60,창원시 마산회원구 양덕로 190 (석전동),민간,2016-10-10,055-299-8275,2023-12-31
49,서울병원,72,창원시 마산회원구 3·15대로 653 (석전동),민간,2016-08-19,055-299-7000,2023-12-31
50,신마산서울아동병원,36,"창원시 마산합포구 문화동15길 25 (창포동3가, 롯데빌리지)",민간,2012-04-02,055-223-7847,2023-12-31
51,베스트수병원,85,"창원시 마산회원구 양덕로 190 (석전동, 바른몸빌딩)",민간,2011-10-11,055-290-2900,2023-12-31
52,은혜병원,269,"창원시 마산합포구 해안대로 331 (남성동, 한백웨딩프라자)",민간,2011-04-21,055-222-9161,2023-12-31
53,365병원,212,창원시 마산회원구 3·15대로 686 (석전동),민간,2010-01-18,055-248-0365,2023-12-31
54,의료법인우암의료재단 진동태봉병원,99,"창원시 마산합포구 동전고개로 2, 진동태봉병원",민간,2009-10-14,055-271-9500,2023-12-31
55,참여성병원,52,"창원시 마산합포구 불종거리로 19 (동성동, 참여성병원)",민간,2008-03-28,055-249-0600,2023-12-31
56,삼일정풍병원,203,"창원시 마산합포구 3·15대로 162 (중앙동2가, 삼일정풍병원)",민간,2008-03-03,055-246-3131,2023-12-31
57,무룹병원,80,"창원시 마산합포구 3·15대로 243 (중앙동3가, 무룹병원)",민간,2007-05-09,055-246-7300,2023-12-31
58,서울아동병원,36,창원시 마산회원구 내서읍 삼계로 2 (삼계웰빙프라자빌딩),민간,2007-03-12,055-231-8175,2023-12-31
59,하나병원,99,창원시 마산합포구 합포로 110 (오동동),민간,2000-05-06,055-240-3000,2023-12-31
60,동마산병원,188,"창원시 마산회원구 3·15대로 681 (석전동, 동마산병원)",민간,1983-02-25,055-290-5114,2023-12-31
61,미소안재활병원,94,"창원시 마산회원구 3·15대로 775 (합성동, 합성메디칼센타)",민간,2008-12-05,055-299-7510,2023-12-31
62,의료법인위더스의료재단위더스병원,220,창원시 마산합포구 동서동2길 45 (신포동2가),민간,2008-06-02,055-220-7777,2023-12-31
63,다나병원,50,"창원시 진해구 진해대로1026번길 4, 더연리지 301,401호 (풍호동)",민간,2023-06-27,055-296-5000,2023-12-31
64,진해성모병원,68,"창원시 진해구 행암로 12, 엠에스빌딩 5,6층 (장천동)",민간,2020-11-20,055-545-0500,2023-12-31
65,희망병원,150,"창원시 진해구 용원로 15 (용원동, 희망병원)",민간,2016-03-04,055-552-7582,2023-12-31
66,우리병원,64,"창원시 진해구 용원로 13, 2,3,5층 (용원동)",민간,2012-11-02,055-551-0002,2023-12-31
67,의료법인 심연의료재단 세명병원,150,창원시 진해구 용원서로 42 (용원동),민간,2010-09-30,055-540-7500,2023-12-31
68,의료법인염광의료재단세광병원,160,창원시 진해구 중원동로 55-1 (중앙동),민간,2008-04-07,055-540-3700,2023-12-31
69,예인여성병원,31,창원시 진해구 진해대로 958 (자은동),민간,2008-01-14,055-542-9000,2023-12-31
70,서울아동병원,43,"창원시 진해구 진해대로776번길 27, 4,7,8층 (이동)",민간,2007-04-05,055-541-0770,2023-12-31
71,해군해양의료원,120,창원시 진해구 진해대로963번길 35 (자은동),공공,1994-05-17,055-907-5763,2023-12-31
72,김취열기념의료재단 프라임병원,170,"진주시 명석면 나불로 305, 지하1층-지상8층",민간,2020-06-03,055-772-6900,2023-12-31
73,예담소아청소년과병원,43,"진주시 충의로 20-33, 2층 (충무공동)",민간,2019-03-27,055-755-3311,2023-12-31
74,의료법인 우람의료재단 세종병원,153,"진주시 동진로 111 (상대동, 디럭스타워 7-9층)",민간,2017-05-26,,2023-12-31
75,의료법인 행복한의료재단 센텀병원,99,"진주시 진주대로941번길 8, 1,2층 (강남동)",민간,2016-08-16,055-795-2900,2023-12-31
76,튼튼소아청소년과병원,70,"진주시 진양호로 206, BYC 진주빌딩 (평거동)",민간,2016-06-09,055-744-7552,2023-12-31
77,진주본병원,110,"진주시 진양호로 206, BYC 진주빌딩 4,5,6,7층 (평거동)",민간,2016-03-17,055-746-5111,2023-12-31
78,공군교육사 기지병원,53,진주시 금산면 송백로 46,공공,2009-06-18,055-750-2603,2023-12-31
79,서울아동병원,48,"진주시 하대로 80, 2층,3층,5층 (하대동, 메디칼팜빌딩)",민간,2007-08-31,055-752-0011,2023-12-31
80,의료법인 바른의료재단 바른병원,151,진주시 동진로 7 (칠암동),민간,2007-02-28,055-790-3000,2023-12-31
81,진주미래여성병원,32,진주시 진주대로 957 (강남동),민간,2006-12-08,055-760-8000,2023-12-31
82,진주세란병원,153,진주시 진주대로 829 (주약동),민간,1998-07-08,055-760-7578,2023-12-31
83,진주복음병원,131,진주시 진양호로 370 (신안동),민간,1996-05-17,055-743-2580,2023-12-31
84,반도병원,165,진주시 남강로 701 (장대동),민간,1993-05-25,055-747-6000,2023-12-31
85,통영고려병원,149,통영시 중앙로 310,민간,2013-03-29,055-644-8275,2023-12-31
86,서울아동병원,59,"통영시 중앙로 334-1, 4~9층",민간,2012-09-07,055-647-0778,2023-12-31
87,통영서울병원,165,통영시 광도면 남해안대로 857,민간,2013-03-29,055-644-1777,2023-12-31
88,신세계로병원,99,통영시 정동2길 58,민간,2005-06-20,055-648-8275,2023-12-31
89,통영적십자병원,99,통영시 중앙로 97,공공,1978-11-06,055-644-8901,2023-12-31
90,의료법인승연의료재단 삼천포서울병원,304,사천시 남일로 33 (동금동),민간,2010-04-30,055-835-9900,2023-12-31
91,사천서울아동병원,42,사천시 사천읍 선평길 17 (서울아동병원),민간,2010-01-08,055-852-8175,2023-12-31
92,삼천포제일병원,215,"사천시 중앙로 136 (벌리동, 삼천포제일병원)",민간,2006-12-26,055-833-4400,2023-12-31
93,하나병원,172,"사천시 사천읍 진삼로 1468-8, 하나병원",민간,2021-11-03,055-855-1112,2023-12-31
94,더프라임병원,30,"김해시 경원로55번길 12, 1층~5층,9층 (내동)",민간,2022-12-07,055-328-0059,2023-12-31
95,김해바른병원,55,"김해시 가락로 42, 4~7층 (부원동)",민간,2018-12-04,055-903-1234,2023-12-31
96,더(the)큰병원,80,"김해시 분성로 208, 3~10층 (외동)",민간,2014-06-02,055-340-0900,2023-12-31
97,우리여성병원,38,김해시 내외중앙로 91 (내동),민간,2013-05-31,055-321-0114,2023-12-31
98,아이사랑병원,36,김해시 활천로 22 (삼정동),민간,2012-09-06,055-325-5775,2023-12-31
99,삼성아동병원,56,"김해시 삼계중앙로 36, 6~8층 (삼계동)",민간,2010-09-01,055-331-8175,2023-12-31
100,의료법인 신의료재단 김해삼승병원,200,김해시 김해대로 2335 (부원동),민간,2008-08-04,055-310-7700,2023-12-31
101,(의)경빈의료재단 김해센텀병원,70,"김해시 구지로 56, 김해센텀병원 지하2~4층 (내동)",민간,2007-11-26,055-330-9100,2023-12-31
102,김해굿모닝병원,99,"김해시 분성로 444, 굿모닝병원 지하1층,2~5층 (삼정동)",민간,2007-03-26,055-333-9522,2023-12-31
103,김해아동병원,33,"김해시 내외중앙로 74, 6,7층 (내동, 밝은메디칼센터)",민간,2006-09-29,055-327-2628,2023-12-31
104,굿모닝대홍병원,38,김해시 분성로 180 (외동),민간,2005-12-09,055-331-0025,2023-12-31
105,김해사랑병원,99,김해시 금관대로 1263 (내동),민간,2005-06-13,055-320-1100,2023-12-31
106,감청수병원,45,"김해시 김해대로 2459 (삼정동, 감청수병원)",민간,2004-02-09,055-336-7582,2023-12-31
107,의료법인환명의료재단 금강병원,98,김해시 가락로 20 (부원동),민간,1985-05-09,055-333-0005,2023-12-31
108,진영새싹병원,51,"김해시 진영읍 본산로 15-17, 굿프라임시티 301,303,304호",민간,2019-01-07,055-724-3119,2023-12-31
109,서울새싹병원,48,"김해시 율하3로 53, 303,701,703,801호 (율하동)",민간,2017-06-27,055-312-9000,2023-12-31
110,율하꿈나무병원,40,"김해시 율하3로 38, 7,8층 702,801호 (율하동)",민간,2016-02-19,055-331-9600,2023-12-31
111,메가병원,203,김해시 계동로 237 (대청동),민간,2013-03-18,055-903-9000,2023-12-31
112,의료법인영진의료재단 엠아이병원,151,"김해시 번화1로 36, 501,601,701,801호 (대청동)",민간,2009-02-04,055-339-8811,2023-12-31
113,의료법인한서의료재단 진영병원,151,김해시 진영읍 김해대로334번길 9,민간,2003-01-02,055-340-3700,2023-12-31
114,나노병원,70,밀양시 중앙로 229(삼문동),민간,2016-12-21,055-351-1600,2023-12-31
115,미르아이병원,35,"밀양시 미리벌중앙로 67, 2~4층(삼문동)",민간,215-06-24,055-716-1275,2023-12-31
116,밀양병원,200,밀양시 밀양대로 1823(삼문동),민간,2007-10-17,055-351-3993,2023-12-31
117,의료법인 생명사랑의료재단 밀양윤병원,183,밀양시 삼문중앙로 32(삼문동),민간,2012-09-20,055-354-2200,2023-12-31
118,의료법인 지원의료재단 굿모닝병원,180,밀양시 용평로5길 4-20(용평동),민간,2015-07-22,055-355-9788,2023-12-31
119,제일병원,79,밀양시 노상하4길 4(내이동),민간,2005-03-02,055-352-7851,2023-12-31
120,행복한병원,60,밀양시 하남읍 수산중앙로 56-2,민간,2008-05-01,055-391-0090,2023-12-31
121,맑은샘센텀병원,150,거제시 거제대로 3762 (옥포동),민간,2018-10-31,055-687-2882,2023-12-31
122,대우아동병원,38,"거제시 옥포대첩로 38, 유라빌딩 2,3,4,6층 (옥포동)",민간,2014-01-20,055-687-8595,2023-12-31
123,서울아동병원,61,거제시 서문로5길 6 (고현동),민간,2013-08-22,055-633-7599,2023-12-31
124,거제아동병원,50,거제시 동문천로 52 (고현동),민간,2009-05-12,055-632-8225,2023-12-31
125,사회복지법인내원 마하재활병원,123,거제시 동부면 율포로 555-11 (마하의료원),민간,2007-02-12,055-633-3000,2023-12-31
126,거제중앙병원,87,거제시 고현로 89 (고현동),민간,2003-05-22,055-635-3211,2023-12-31
127,힘나는병원,78,"양산시 물금읍 부산대학로 130, 3,4,6,7,9층 5층일부호",민간,2021-09-24,055-785-3375,2023-12-31
128,단디병원,87,"양산시 강변로 442, 늘푸른빌딩 3,5,6,7층 (중부동)",민간,2018-12-07,055-785-5588,2023-12-31
129,더이로운병원,80,"양산시 양산대로 886, 4층~10층 (북부동)",민간,2018-10-26,055-785-0123,2023-12-31
130,본바른병원,186,"양산시 물금읍 청운로 343, 양산바른빌딩 1층일부, 4층~10층",민간,2018-10-24,055-785-3117,2023-12-31
131,양산아이들병원,56,"양산시 물금읍 청운로 354, 아이시티 6~7층",민간,2018-10-15,055-780-1111,2023-12-31
132,서울패미리병원,52,"양산시 물금읍 증산역로 135, 퍼스트조양 6.7층",민간,2018-07-31,055-785-2020,2023-12-31
133,웅상센텀힐병원,149,양산시 평산로 11 (평산동),민간,2018-03-27,055-386-2600,2023-12-31
134,이레 아이병원,40,"양산시 물금읍 청운로 185, 504~507, 601~605호",민간,2016-10-19,055-781-1175,2023-12-31
135,양산제일병원,172,"양산시 동면 금오로 255, 3층일부4~8층 301,302호 (양산에이치타워)",민간,2016-03-04,055-904-7575,2023-12-31
136,웅상좋은아이병원,47,양산시 평산로 12 (평산동),민간,2012-05-04,055-603-2070,2023-12-31
137,의령병원,58,의령군 의령읍 의병로14길 10,민간,2008-10-24,055-573-4100,2023-12-31
138,아라한국병원,200,함안군 산인면 학산2길 17-50,민간,2020-03-17,055-582-8088,2023-12-31
139,영동병원,58,함안군 칠원읍 용산2길 45-13,민간,2012-10-24,055-586-2000,2023-12-31
140,태황의료재단한성병원,167,창녕군 창녕읍 교리1길 2,민간,2010-11-04,055-530-5000,2023-12-31
141,의료법인창녕서울의료재단창녕서울병원,87,창녕군 창녕읍 창녕대로 122,민간,1983-05-24,055-532-1975,2023-12-31
142,강병원,99,고성군 중앙로 49,민간,2006-08-14,055-673-0101,2023-12-31
143,더 조은병원,112,고성군 동외로 142,민간,2015-10-01,055-672-1111,2023-12-31
144,의료법인 이도의료재단 남해병원,142,남해군 남해읍 화전로 169,민간,1988-08-26,055-860-2201,2023-12-31
145,함양성심병원,133,함양군 함양읍 고운로 70,민간,1983-06-18,055-963-4322,2023-12-31
146,거창적십자병원,91,거창군 거창읍 중앙로 91,공공,1974-09-03,055-944-3251,2023-12-31
147,의료법인아림의료재단서경병원,120,"거창군 거창읍 송정1길 24-13, 서경병원",민간,1995-07-06,055-945-0091,2023-12-31
148,중앙메디컬병원,100,"거창군 거창읍 거창대로1길 7-2, 2~7층",민간,2020-03-30,055-942-7575,2023-12-31
149,삼성합천병원,135,합천군 합천읍 대야로 876,민간,2013-01-02,055-933-3322,2023-12-31
150,더앞선치과병원,0,"창원시 성산구 마디미로16번길 9, 서우빌딩 6층 601호 (상남동)",민간,2023-04-06,055-714-1111,2023-12-31
151,램브란트치과병원,0,"창원시 성산구 상남로 73 (상남동, 서울메디컬빌딩5층)",민간,2007-07-06,055-262-2875,2023-12-31
152,화인치과병원,0,"창원시 성산구 중앙대로 99 (중앙동, 신한은행빌딩3,4,5층)",민간,2000-05-12,055-285-0100,2023-12-31
153,고운치과병원,0,"창원시 성산구 원이대로 595, 고운메디컬빌딩 (용호동)",민간,2000-05-08,055-266-2828,2023-12-31
154,라온치과병원,0,"창원시 마산회원구 양덕로 194 (석전동, 영광약국)",민간,2010-05-17,055-256-0007,2023-12-31
155,창원진해연세스위트치과병원,0,"창원시 진해구 진해대로 752, 아리온시네마빌딩 3층 304,309호 (석동)",민간,2021-05-04,055-541-0600,2023-12-31
156,진해라온치과병원,0,창원시 진해구 진해대로 765 (석동),민간,2012-01-27,055-547-1300,2023-12-31
157,온치과병원,0,"창원시 진해구 진해대로776번길 27, 5층 (이동, 온메디칼빌딩)",민간,2010-12-01,055-551-2828,2023-12-31
158,우리들치과병원,0,"진주시 동진로 111, 1층 (상대동, 한보프라자)",민간,2017-10-17,055-758-2804,2023-12-31
159,진주미르치과병원,0,"진주시 진주대로 922, 4,5,7층 (칠암동)",민간,2008-10-31,055-745-8180,2023-12-31
160,우가주치과병원,0,"김해시 전하로 287, 지하1층~5층 B01,101,201,301,401,501호 (외동)",민간,2017-04-07,055-337-2275,2023-12-31
161,부원뉴욕치과병원,0,"김해시 가락로 19, 401호 (부원동, 아름다운뉴욕메디컬센터)",민간,2016-02-26,055-332-2877,2023-12-31
162,삼계뉴욕치과병원,0,김해시 가야로 193 (삼계동),민간,2010-03-03,055-325-2872,2023-12-31
163,자기치아살리기365일야간드림플란트치과병원,0,김해시 김해대로 2361 (부원동),민간,2008-04-30,055-325-7528,2023-12-31
164,뉴욕치과병원,0,김해시 내외중앙로 86 (내동),민간,2002-09-24,055-339-7557,2023-12-31
165,장유뉴욕치과병원,0,김해시 계동로 221 (대청동),민간,2023-11-28,055-322-2873,2023-12-31
166,미르치과병원,0,"거제시 거제중앙로 1930-11, 2,3,4층(고현동)",민간,2007-04-13,055-633-7744,2023-12-31
167,고운가이드치과병원,0,"거제시 거제중앙로 1925, 3층(고현동)",민간,2011-04-29,055-638-2875,2023-12-31
168,메디칼치과병원,0,"거제시 거제중앙로 1932, 6층(고현동)",민간,2015-07-06,055-638-2879,2023-12-31
169,양산부산대학교치과병원,36,양산시 물금읍 금오로 20,공공,2009-09-25,055-360-5114,2023-12-31
170,더이로운치과병원,0,"양산시 양산대로 886, 2층 (북부동)",민간,2018-08-21,055-785-1575,2023-12-31
171,유어스치과병원,0,"양산시 양산역로 71, 8,9층 (중부동, 노바메디컬케어)",민간,2011-01-03,055-364-7600,2023-12-31
172,의료법인 피앤케이의료재단 인생한방병원,50,"창원시 성산구 중앙대로 64, 신텍타워 2,3층 201.301호 (상남동)",민간,2023-02-13,055-266-9000,2023-12-31
173,명작한방병원,83,"창원시 성산구 상남로 126, 세종엠필드 4-5층 (상남동)",민간,2021-07-16,055-604-5000,2023-12-31
174,라라한방병원,43,"창원시 성산구 마디미서로 26, 한독빌딩 8층,9층,10층 1003호 (상남동)",민간,2020-04-27,055-286-3377,2023-12-31
175,예이재한방병원,41,"창원시 의창구 용동로 45, 현대썬앤빌 더 스퀘어 A동 5-6층 (사림동)",민간,2020-04-17,055-800-8875,2023-12-31
176,유니한방병원,54,"창원시 의창구 평산로 102, 녹주빌딩 2,3층 (팔용동)",민간,2019-09-12,055-719-0100,2023-12-31
177,창원 당당한방병원,49,"창원시 성산구 원이대로 674, 당당한방병원 지하1층, 3-8층 (상남동)",민간,2017-12-21,055-298-1075,2023-12-31
178,창원자생한방병원,66,"창원시 성산구 원이대로682번길 8, SH빌딩 (상남동)",민간,2012-06-12,055-712-7000,2023-12-31
179,의료법인 청민의료재단 몸편한한방병원,30,창원시 의창구 남산로1번길 60 (팔용동),민간,2008-11-06,055-294-7575,2023-12-31
180,자연안에 한방병원,39,"창원시 마산회원구 양덕로 144, 상현메디컬빌딩 (양덕동)",민간,2023-04-21,055-603-4002,2023-12-31
181,의료법인한결의료재단 자연한방병원,66,창원시 마산합포구 진전면 회진로 742-45,민간,2021-11-08,055-222-1151,2023-12-31
182,강추한방병원,65,"창원시 마산회원구 3·15대로 686, 365병원 본관동 5,7,8,10층 501,701,801,1003호 (석전동)",민간,2021-02-01,0507-1497-0365,2023-12-31
183,선운한방병원,72,"진주시 진주대로915번길 1, 1~9층 (강남동)",민간,2023-05-19,055-752-0000,2023-12-31
184,장덕한방병원,50,"진주시 촉석로 178, 지하1, 1~3층 (중안동)",민간,2018-10-12,055-748-5555,2023-12-31
185,진주한방병원,50,"진주시 진주대로 1180, 1~4층 (봉곡동)",민간,2016-02-19,055-748-3400,2023-12-31
186,동서양한방병원,51,"통영시 원문로 27, 3,4,5층",민간,2018-01-29,055-725-7700,2023-12-31
187,경희선한방병원,54,"김해시 삼계중앙로 42, 4,6,7,8층 401,601,701,803호 (삼계동)",민간,2021-02-01,055-339-8875,2023-12-31
188,당당한방병원,85,"김해시 가락로 23, 5~9층 (부원동)",민간,2016-07-25,055-331-2020,2023-12-31
189,베스트한방병원,70,"김해시 구지로 58, 2,3,4층 502호 (내동, 한일빌딩)",민간,2015-06-09,055-903-0555,2023-12-31
190,자연힐한방병원,50,"김해시 번화1로56번길 2, 101, 104, 105, 201, 301호 외 3호 (대청동)",민간,2019-09-20,055-724-0072,2023-12-31
191,튼튼한방병원,35,"밀양시 밀양대로 1855(삼문동, 1~2층)",민간,2016-09-26,055-353-6000,2023-12-31
192,새힘한방병원,71,"양산시 양산역로 101, 2,4,5,6,7층 (중부동)",민간,2020-06-15,055-381-4567,2023-12-31
193,양산더존한방병원,84,"양산시 물금읍 청운로 349, 세정에스타 5~6층",민간,2019-04-12,055-785-0000,2023-12-31
194,양산부산대학교한방병원,100,양산시 물금읍 금오로 20 (양산부산대학교병원),공공,2010-01-15,055-360-5555,2023-12-31
195,합천한방병원,51,합천군 합천읍 대야로 890,민간,2023-07-10,055-808-7777,2023-12-31
196,예정요양병원,223,"창원시 의창구 팔용로 319, 반계동 요양병원 A동 지하1~지상4층 (반계동)",민간,2019-12-27,055-253-6000,2023-12-31
197,의료법인승인의료재단동창원요양병원,236,"창원시 의창구 동읍 의창대로 870-5, 동창원요양병원 1,2,3,4층 지하1층(103호)호",민간,2017-08-25,055-291-2002,2023-12-31
198,서라벌요양병원,194,"창원시 의창구 남산로17번길 28, 2층, 3층 (팔용동, 팔용에이스빌딩 2,3층)",민간,2015-08-26,055-294-1400,2023-12-31
199,시티요양병원,300,창원시 의창구 대봉로26번길 12-3 (봉림동),민간,2015-06-03,055-270-5500,2023-12-31
200,북면이화요양병원,200,창원시 의창구 북면 천주로 1092,민간,2015-06-01,055-293-3311,2023-12-31
201,의료법인 자은의료재단 덕산요양병원,199,창원시 의창구 동읍 의창대로 882,민간,2014-08-26,055-251-2221,2023-12-31
202,창원삼성요양병원,196,창원시 의창구 의안로2번길 31 (소답동),민간,2014-06-11,055-298-7582,2023-12-31
203,행복한요양병원,408,창원시 의창구 북면 천주로 785-1,민간,2008-06-23,055-259-1112,2023-12-31
204,푸른요양병원,488,"창원시 성산구 창원천로94번길 82-18, 푸른요양병원(B동) (대원동)",민간,2008-03-31,055-270-8888,2023-12-31
205,성미카엘요양병원,165,창원시 의창구 사림로45번길 4-11 (사림동),민간,2006-10-13,055-264-6007,2023-12-31
206,시립창원요양병원,181,창원시 의창구 북면 단내로 499-32,공공,2002-12-13,055-298-2442,2023-12-31
207,희연요양병원,300,"창원시 성산구 원이대로393번길 25, 희연빌딩 2-3층, 지하1-2층 일부호 (반지동)",민간,2001-12-20,055-270-2580,2023-12-31
208,성운요양병원,195,창원시 마산회원구 내서읍 함마대로 2694-72,민간,2021-08-09,055-817-7575,2023-12-31
209,복음요양병원,136,"창원시 마산회원구 3·15대로 850, 복음요양병원 (합성동)",민간,2020-05-19,055-291-7000,2023-12-31
210,한마음요양병원,299,"창원시 마산합포구 오동동10길 73, 2-3층 (오동동, 서광아침의빛)",민간,2020-02-21,055-246-3300,2023-12-31
211,의료법인혜주의료재단 더편한요양병원,199,창원시 마산합포구 진동면 삼진의거대로 826,민간,2018-11-22,055-606-7722,2023-12-31
212,친절요양병원,192,"창원시 마산합포구 현동로 38, 4-10층 (우산동)",민간,2018-11-13,055-222-7900,2023-12-31
213,의료법인벽암의료재단 큰바다요양병원,170,창원시 마산합포구 수산1길 262-2 (오동동),민간,2018-10-17,055-221-3388,2023-12-31
214,의료법인합포의료재단마산우리요양병원,220,"창원시 마산합포구 해안대로 35 (해운동, MH우리병원)",민간,2016-04-21,055-220-7500,2023-12-31
215,의료법인예경의료재단예경요양병원,150,"창원시 마산합포구 중앙서1길 25 (대성동2가, 예경노인병원)",민간,2013-12-02,055-249-5500,2023-12-31
