시설구분,시설명,주소,경도,위도,geometry
공공시설,고성경찰서,고성군 고성읍 중앙로 113,128.333153541,34.976014149,POINT (1076049.7444431284 1664885.0813677702)
공공시설,창녕경찰서,창녕군 창녕읍 종로 38-6,128.500715169,35.540627697,POINT (1090713.7464726847 1727644.7953621459)
공공시설,합천경찰서,합천군 합천읍 중앙로 63,128.158084946,35.566475265,POINT (1059634.978269664 1730250.1472015795)
공공시설,거창경찰서,거창군 거창읍 중앙로 97,127.909037721,35.686156821,POINT (1037011.2133737323 1743401.6167991366)
공공시설,밀양경찰서,밀양시 상남면 밀양대로 1545,128.760899733,35.469333186,POINT (1114401.3956690864 1720007.844299621)
공공시설,거제경찰서,거제시 진목 1길 2 (옥포동),128.686732216,34.898707071,POINT (1108427.2585291883 1656637.6301969187)
공공시설,사천경찰서,사천시 남일로 37(동금동),128.081072331,34.933433375,POINT (1053067.0325128152 1660000.1918082656)
공공시설,통영경찰서,통영시 광도면 죽림3로 53,128.42003333,34.882909987,POINT (1084075.2420578778 1654629.3992501465)
공공시설,진해경찰서,창원시 진해구 진해대로 815,128.703684875,35.156447146,POINT (1109631.509249168 1685240.8146342689)
공공시설,양산경찰서,양산시 북안남2길 36 (북부동),129.037395296,35.347036533,POINT (1139700.5741083869 1706798.647619239)
공공시설,김해중부경찰서,김해시 김해대로 2307 (봉황동),128.879749015,35.226873506,POINT (1125559.976317899 1693260.0631336207)
공공시설,진주경찰서,진주시 비봉로 24번길 3 (중안동),128.081896784,35.193075881,POINT (1052974.3240855206 1688794.806402497)
공공시설,마산동부경찰서,창원시 마산회원구 합성남17길 56,128.590070346,35.2383266,POINT (1099183.4669117802 1694202.4961001559)
공공시설,마산중부경찰서,창원시 마산합포구 3.15대로 147,128.564123534,35.192226428,POINT (1096877.285896991 1689064.071264605)
공공시설,창원서부경찰서,창원시 의창구 우곡로 10,128.636852042,35.251697177,POINT (1103423.2487902127 1695733.1367686943)
공공시설,경남지방경찰청,창원시 의창구 상남로 289,128.69520236,35.238847805,POINT (1108748.9840323105 1694370.391181381)
생활편익시설,가곡 경로당,경상남도 창원시 의창구 동읍 신촌본포로442번길 26,128.644385896,35.359032004,POINT (1103971.225242216 1707645.4337990424)
생활편익시설,고양 경로당 ,경상남도 창원시 의창구 동읍 백월로 540 ,128.654864588,35.305038793,POINT (1104993.1053272143 1701668.1131649544)
생활편익시설,곡목 경로당 ,경상남도 창원시 의창구 동읍 동읍로 359번길 43 ,128.661179593,35.298651114,POINT (1105575.550847723 1700966.3671128554)
생활편익시설,금동 경로당 ,경상남도 창원시 의창구 동읍 동읍로 835번길 7 ,128.666221058,35.333232725,POINT (1105988.810609166 1704807.1830307343)
생활편익시설,금산 경로당 ,경상남도 창원시 의창구 동읍 동읍로 670번길 6 ,128.664271216,35.323145187,POINT (1105824.7447028228 1703686.290874017)
생활편익시설,기로회 경로당 ,경상남도 창원시 의창구 동읍 용잠로 45-5 ,128.689181895,35.279517554,POINT (1108147.116001197 1698874.4539316555)
생활편익시설,남산경로당 ,경상남도 창원시 의창구 동읍 용남길 10번길 74 ,128.660983694,35.277550412,POINT (1105585.1368463999 1698625.8982285482)
생활편익시설,내단 경로당 ,경상남도 창원시 의창구 동읍 자여로 118번길 7 ,128.703888005,35.273251764,POINT (1109493.0254971008 1698195.6528014657)
생활편익시설,단산경로당 ,경상남도 창원시 의창구 동읍 자여로 78번길 5 ,128.700738139,35.276108432,POINT (1109202.6975957642 1698509.0119585472)
생활편익시설,달천 경로당 ,경상남도 창원시 의창구 동읍 노연로 69번길 27 ,128.661049972,35.362058421,POINT (1105481.3430034458 1707998.7249485902)
생활편익시설,대한APT 경로당 ,경상남도 창원시 의창구 동읍 신방로 17(대한아파트) ,128.683825686,35.285791532,POINT (1107651.6802518845 1699564.469468479)
생활편익시설,덕산경로당 ,경상남도 창원시 의창구 동읍 덕산길43번길 8 ,128.674307097,35.271624093,POINT (1106804.6651013773 1697982.8797787088)
생활편익시설,덕천경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 19번길 50 ,128.684041992,35.279653952,POINT (1107679.4776495781 1698883.9894074225)
생활편익시설,동부산2차아파트경로당 ,경상남도 창원시 의창구 동읍 용정길32번길 14(동부산훼미리타운2차) ,128.702796215,35.277439747,POINT (1109388.0908091606 1698658.9351618025)
생활편익시설,동월 경로당 ,경상남도 창원시 의창구 동읍 주남로 128번길 68-2 ,128.685801761,35.30380702,POINT (1107807.487667333 1701564.7063678904)
생활편익시설,마룡 경로당 ,경상남도 창원시 의창구 동읍 석산길 51번길 8-18 ,128.660155052,35.317353892,POINT (1105458.1151316867 1703039.5915113343)
생활편익시설,모암 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 213번길 7 ,128.674615033,35.293691432,POINT (1106803.6876606904 1700430.6823605592)
생활편익시설,무성 경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 1 ,128.699385681,35.289348678,POINT (1109061.932212248 1699975.9934069528)
생활편익시설,무성부인 경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 1 ,128.699385681,35.289348678,POINT (1109061.932212248 1699975.9934069528)
생활편익시설,무성1구경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 21 ,128.697656599,35.289621279,POINT (1108904.3313596416 1700004.3270844514)
생활편익시설,무성1구남자경로당 ,경상남도 창원시 의창구 동읍 무성길 47번길 21 ,128.697656599,35.289621279,POINT (1108904.3313596416 1700004.3270844514)
생활편익시설,무성1구경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 21 ,128.697656599,35.289621279,POINT (1108904.3313596416 1700004.3270844514)
생활편익시설,무성1구남자경로당 ,경상남도 창원시 의창구 동읍 무성길 47번길 21 ,128.697656599,35.289621279,POINT (1108904.3313596416 1700004.3270844514)
생활편익시설,무성 경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 1 ,128.699385681,35.289348678,POINT (1109061.932212248 1699975.9934069528)
생활편익시설,무성부인 경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 1 ,128.699385681,35.289348678,POINT (1109061.932212248 1699975.9934069528)
생활편익시설,무점 경로당 ,경상남도 창원시 의창구 동읍 무점길 88번길 21-12 ,128.695290335,35.29428935,POINT (1108682.9126710421 1700519.4649059884)
생활편익시설,본포 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1310번길 68 ,128.646182816,35.368321843,POINT (1104122.5577380974 1708677.6610723957)
생활편익시설,봉강 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1141번길 31 ,128.653700045,35.350928771,POINT (1104827.9572089824 1706756.5252089098)
생활편익시설,봉곡 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1057번길  51 ,128.654632496,35.341901322,POINT (1104924.3601475414 1705756.2779017598)
생활편익시설,봉산경로당 ,경상남도 창원시 의창구 동읍 자여로 60번길 11 ,128.699781408,35.276742994,POINT (1109114.8309280982 1698578.3379927068)
생활편익시설,산남 경로당 ,경상남도 창원시 의창구 동읍 봉강가술로 203 ,128.677151388,35.352289398,POINT (1106957.1073834985 1706932.5148427277)
생활편익시설,삼운 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1153 ,128.65656222,35.352412136,POINT (1105086.1113073335 1706924.0796175885)
생활편익시설,성진2차경로당 ,경상남도 창원시 의창구 동읍 용정길 46번길 35 ,128.705608763,35.275651236,POINT (1109646.3010523173 1698463.6776923481)
생활편익시설,성진까치빌라경로당 ,경상남도 창원시 의창구 동읍 단계로 84 ,128.705516957,35.27655675,POINT (1109636.7306552737 1698564.006324679)
생활편익시설,성진정 경로당 ,경상남도 창원시 의창구 동읍 용정길 46번길 53 ,128.706151888,35.273688801,POINT (1109698.3454153454 1698246.6255314914)
생활편익시설,송정1구경로당 ,경상남도 창원시 의창구 동읍 자여로 82 ,128.701584691,35.275954343,POINT (1109279.8991763755 1698492.854358561)
생활편익시설,송정주공APT경로당 ,경상남도 창원시 의창구 동읍 용정길 26(송정주공아파트) ,128.700678755,35.278303959,POINT (1109194.3490841324 1698752.4512947488)
생활편익시설,신방 경로당 ,경상남도 창원시 의창구 동읍로 112번길 1-5 ,128.680419039,35.286136987,POINT (1107341.4246218633 1699599.0908907363)
생활편익시설,신방 부인 경로당 ,경상남도 창원시 의창구 동읍로 112번길 1-5 ,128.680419039,35.286136987,POINT (1107341.4246218633 1699599.0908907363)
생활편익시설,신방 경로당 ,경상남도 창원시 의창구 동읍로 112번길 1-5 ,128.680419039,35.286136987,POINT (1107341.4246218633 1699599.0908907363)
생활편익시설,신방 부인 경로당 ,경상남도 창원시 의창구 동읍로 112번길 1-5 ,128.680419039,35.286136987,POINT (1107341.4246218633 1699599.0908907363)
생활편익시설,신안APT 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 13-1 ,128.684073541,35.278224156,POINT (1107684.23994656 1698725.4460358613)
생활편익시설,양교경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 968-2 ,128.667781983,35.342788913,POINT (1106118.1812178302 1705868.7320356471)
생활편익시설,외단경로당 ,경상남도 창원시 의창구 동읍 자여로 115번길 84 ,128.710890471,35.270541721,POINT (1110133.5968194248 1697902.8349712265)
생활편익시설,용산 경로당 ,경상남도 창원시 의창구 동읍 죽동길 53 ,128.676142146,35.330859073,POINT (1106893.6293939673 1704554.5820604283)
생활편익시설,용산부인경로당 ,경상남도 창원시 의창구 동읍 죽동길 53 ,128.676142146,35.330859073,POINT (1106893.6293939673 1704554.5820604283)
생활편익시설,용산 경로당 ,경상남도 창원시 의창구 동읍 죽동길 53 ,128.676142146,35.330859073,POINT (1106893.6293939673 1704554.5820604283)
생활편익시설,용산부인경로당 ,경상남도 창원시 의창구 동읍 죽동길 53 ,128.676142146,35.330859073,POINT (1106893.6293939673 1704554.5820604283)
생활편익시설,용연 경로당 ,경상남도 창원시 의창구 동읍 노연로 224-12 ,128.670135268,35.354438162,POINT (1106316.7697280296 1707163.2780962095)
생활편익시설,용잠1구 경로당 ,경상남도 창원시 의창구 동읍 용잠로 42-12 ,128.688140128,35.279440005,POINT (1108052.473623031 1698864.7176004883)
생활편익시설,용잠1구여성경로당,경상남도 창원시 의창구 동읍 용잠로 42-11,128.688173804,35.27932636,POINT (1108055.6873378716 1698852.149997815)
생활편익시설,용잠2구 경로당 ,경상남도 창원시 의창구 동읍 의창대로 900번길 9-4 ,128.689439879,35.278179647,POINT (1108172.3582200168 1698726.3488858913)
생활편익시설,용잠3구 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 16-12 ,128.685431069,35.279050544,POINT (1107806.6093513742 1698818.5748133897)
생활편익시설,용잠6구경로당 ,경상남도 창원시 의창구 동읍 의창대로 915번길 17-2 ,128.69035133,35.280758651,POINT (1108251.8204679864 1699013.378974173)
생활편익시설,용잠본동경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 83번길 33-3 ,128.679159616,35.282957637,POINT (1107231.086046904 1699245.108904715)
생활편익시설,용잠본동부인경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 83번길 33-3 ,128.679159616,35.282957637,POINT (1107231.086046904 1699245.108904715)
생활편익시설,용잠본동경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 83번길 33-3 ,128.679159616,35.282957637,POINT (1107231.086046904 1699245.108904715)
생활편익시설,용잠본동부인경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 83번길 33-3 ,128.679159616,35.282957637,POINT (1107231.086046904 1699245.108904715)
생활편익시설,용전경로당 ,경상남도 창원시 의창구 동읍 용남길 85 ,128.656521895,35.276769908,POINT (1105180.351284715 1698534.5930149592)
생활편익시설,용정1구 경로당 ,경상남도 창원시 의창구 동읍 자여로 100 ,128.703194298,35.274987427,POINT (1109427.595238724 1698387.3887296917)
생활편익시설,용정2구 경로당 ,경상남도 창원시 의창구 동읍 용정길 46번길 49-1 ,128.705502855,35.274780871,POINT (1109637.8416796296 1698367.0288888551)
생활편익시설,용정3구경로당 ,경상남도 창원시 의창구 용정길46번길 42-10 ,128.704433139,35.275303389,POINT (1109539.8449029506 1698423.7992670096)
생활편익시설,원봉강 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1187번길 12 ,128.653801555,35.355595814,POINT (1104831.14892724 1707274.255242309)
생활편익시설,월잠 경로당 ,경상남도 창원시 의창구 동읍 주남로 61번길 1 ,128.674055295,35.303430779,POINT (1106739.9984425793 1701510.2654294402)
생활편익시설,이운 경로당 ,경상남도 창원시 의창구 동읍 백월로 549 ,128.655671995,35.304696572,POINT (1105066.955588444 1701631.0131900301)
생활편익시설,전촌 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1223번길 36-17 ,128.652343314,35.358663102,POINT (1104694.6914862513 1707612.9056609143)
생활편익시설,죽동 경로당 ,경상남도 창원시 의창구 동읍 봉강가술로 237번길 8 ,128.68067002,35.352646006,POINT (1107276.3570901374 1706975.8733225008)
생활편익시설,칠성그린APT 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 218(칠성그린아파트) ,128.67525771,35.294336233,POINT (1106861.279145316 1700502.889345591)
생활편익시설,판신경로당 ,경상남도 창원시 의창구 동읍 주남로 184번길 5 ,128.687195652,35.307569172,POINT (1107929.2222443395 1701983.4827037393)
생활편익시설,합산 경로당 ,경상남도 창원시 의창구 동읍 죽동길 25번길 66 ,128.676029672,35.336589342,POINT (1106875.8612715257 1705190.0055289995)
생활편익시설,화목 경로당 ,경상남도 창원시 의창구 동읍 화양길 72,128.64974632,35.301195974,POINT (1104532.706492519 1701236.4996151251)
생활편익시설,STX칸1차아파트경로당,경상남도 창원시 의창구 북면 무동서로 76,128.580212461,35.321606767,POINT (1098185.891702564 1703429.1256149486)
생활편익시설,갈전경로당,경상남도 창원시 의창구 북면 구룡로380번길 47-1,128.621548027,35.306579763,POINT (1101962.105608008 1701804.2396892775)
생활편익시설,감계아내1차아파트경로당,경상남도 창원시 의창구 북면 감계로 277,128.592454445,35.302637524,POINT (1099321.8614017707 1701337.4719490483)
생활편익시설,감계아내2차아파트경로당,경상남도 창원시 의창구 북면 감계로 342,128.596501386,35.300276702,POINT (1099692.7051618125 1701079.6989568514)
생활편익시설,감계푸르지오아파트경로당,경상남도 창원시 의창구 북면 감계로 221,128.585172341,35.299934765,POINT (1098663.0544215122 1701030.4413942536)
생활편익시설,감계휴먼빌경로당,경상남도 창원시 의창구 북면 감계로 297,128.593450158,35.30281203,POINT (1099412.1780949375 1701357.8242507505)
생활편익시설,감계힐스테이트1차아파트경로당,경상남도 창원시 의창구 북면 동전로 86 ,128.597773786,35.303604282,POINT (1099804.3083578558 1701450.0363473478)
생활편익시설,감계힐스테이트2차아파트경로당,경상남도 창원시 의창구 북면 감계로 341,128.598373072,35.302693045,POINT (1099859.9145694124 1701349.575887423)
생활편익시설,감계힐스테이트3차아파트경로당,경상남도 창원시 의창구 북면 감계로 259,128.589609878,35.302558542,POINT (1099063.3298610605 1701325.8658009332)
생활편익시설,감계힐스테이트4차아파트경로당,경상남도 창원시 의창구 북면 감계로 233,128.584269467,35.299975495,POINT (1098580.913105997 1701034.060501423)
생활편익시설,고암경로당,경상남도 창원시 의창구 북면 고암길 26,128.629939743,35.295234473,POINT (1102739.387527186 1700554.6103019079)
생활편익시설,남백경로당,경상남도 창원시 의창구 북면 백월로277번길 10,128.637285,35.31863855,POINT (1103377.499538068 1703157.9726241298)
생활편익시설,내감경로당,경상남도 창원시 의창구 북면 내감1길 20,128.590807244,35.301061682,POINT (1099174.0210737376 1701161.048574444)
생활편익시설,내감부인경로당,경상남도 창원시 의창구 북면 내감1길 20,128.590807244,35.301061682,POINT (1099174.0210737376 1701161.048574444)
생활편익시설,내감경로당,경상남도 창원시 의창구 북면 내감1길 20,128.590807244,35.301061682,POINT (1099174.0210737376 1701161.048574444)
생활편익시설,내감부인경로당,경상남도 창원시 의창구 북면 내감1길 20,128.590807244,35.301061682,POINT (1099174.0210737376 1701161.048574444)
생활편익시설,내산경로당,경상남도 창원시 의창구 북면 외산로157번길 5-4,128.590079145,35.376115365,POINT (1099016.207237288 1709484.4575726874)
생활편익시설,대천경로당,경상남도 창원시 의창구 북면 천주로 606,128.602548039,35.30950667,POINT (1100231.0969919674 1702109.4798403576)
생활편익시설,대한경로당,경상남도 창원시 의창구 북면 구룡로 79-15,128.618564565,35.288561378,POINT (1101713.407794278 1699802.7783734403)
생활편익시설,대호아파트경로당,경상남도 창원시 의창구 북면 천주로 1053(대호아파트),128.605456961,35.345329464,POINT (1100451.2222785798 1706085.4993980704)
생활편익시설,동전경로당,경상남도 창원시 의창구 북면 동전무동길 30,128.59676355,35.316543943,POINT (1099696.578418794 1702884.1404881845)
생활편익시설,마산경로당,경상남도 창원시 의창구 북면 마산길 48,128.621238591,35.342287994,POINT (1101889.1552606171 1705764.2944603676)
생활편익시설,마산부인경로당,경상남도 창원시 의창구 북면 마산길 49,128.621496746,35.342524652,POINT (1101912.3180802972 1705790.8077310096)
생활편익시설,명촌경로당,경상남도 창원시 의창구 북면 외산로 349,128.598150767,35.385972508,POINT (1099737.2804494435 1710585.8198205635)
생활편익시설,명호경로당,경상남도 창원시 의창구 북면 천주로759번길 15-9,128.600584107,35.321109614,POINT (1100038.2599707723 1703394.3644207988)
생활편익시설,무동경로당,경상남도 창원시 의창구 북면 무동안길 20-5,128.578587051,35.317606946,POINT (1098042.9728472785 1702983.9014651827)
생활편익시설,무동휴먼빌경로당(1단지),"경상남도 창원시 의창구 북면 동곡로 33, 108동",128.584051262,35.319176009,POINT (1098537.7826931411 1703163.3441590064)
생활편익시설,무동휴먼빌2단지아파트경로당,경상남도 창원시 의창구 북면 동곡로 35,128.582769671,35.32047054,POINT (1098419.715526136 1703305.6451892678)
생활편익시설,무동휴먼빌3단지아파트경로당,경상남도 창원시 의창구 북면 무동로226번길 19,128.583011095,35.317861167,POINT (1098444.823873028 1703016.4829045362)
생활편익시설,바깥신천경로당,경상남도 창원시 의창구 북면 천주로 1398-12,128.626420986,35.368208537,POINT (1102327.401391741 1708644.4824531763)
생활편익시설,북면경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.35050857,POINT (1100746.9402385177 1706663.2894480536)
생활편익시설,온천남자경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.35050857,POINT (1100746.9402385177 1706663.2894480536)
생활편익시설,온천부녀경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.35050857,POINT (1100746.9402385177 1706663.2894480536)
생활편익시설,소라경로당,경상남도 창원시 의창구 북면 온천로587번길 17-3,128.583624056,35.35958561,POINT (1098449.9145779735 1707644.7096496497)
생활편익시설,상천(봉촌)경로당,경상남도 창원시 의창구 북면 온천로 648-22,128.589730866,35.359518412,POINT (1099004.8375720344 1707643.3473130965)
생활편익시설,센텀파라디아아파트경로당,경상남도 창원시 의창구 북면 무동서로 24,128.582398712,35.319222282,POINT (1098387.5076352966 1703166.8341375696)
생활편익시설,송촌경로당,경상남도 창원시 의창구 북면 무릉산길 239-3,128.577560908,35.342564139,POINT (1097919.5857825615 1705750.859152927)
생활편익시설,승산경로당,경상남도 창원시 의창구 북면 구룡로 339,128.624490974,35.302687141,POINT (1102234.5635503994 1701375.5444490095)
생활편익시설,신기경로당,경상남도 창원시 의창구 북면 천주로 1337,128.623275221,35.363971466,POINT (1102046.9517763397 1708171.3008832792)
생활편익시설,신동경로당,경상남도 창원시 의창구 북면 천주로 1337,128.623275221,35.363971466,POINT (1102046.9517763397 1708171.3008832792)
생활편익시설,신기경로당,경상남도 창원시 의창구 북면 천주로 1337,128.623275221,35.363971466,POINT (1102046.9517763397 1708171.3008832792)
생활편익시설,신동경로당,경상남도 창원시 의창구 북면 천주로 1337,128.623275221,35.363971466,POINT (1102046.9517763397 1708171.3008832792)
생활편익시설,신리경로당,경상남도 창원시 의창구 북면 신리길35번길 2,128.604332813,35.348008506,POINT (1100345.7548112073 1706381.4906569272)
생활편익시설,신리부녀경로당,경상남도 창원시 의창구 북면 신리길 17,128.60553406,35.346726338,POINT (1100456.4988510895 1706240.504112936)
생활편익시설,신목경로당,경상남도 창원시 의창구 북면 천주로1263번길 2,128.618073161,35.359183646,POINT (1101580.3344355174 1707634.933536247)
생활편익시설,신우경로당,경상남도 창원시 의창구 북면 신촌본포로 12-10,128.608781642,35.347093189,POINT (1100751.1533894127 1706284.4908549963)
생활편익시설,신음경로당,경상남도 창원시 의창구 북면 무릉산길 2,128.584555366,35.328906665,POINT (1098571.7932235138 1704243.060797749)
생활편익시설,신천경로당,경상남도 창원시 의창구 북면 하천로 245,128.612977089,35.373027144,POINT (1101100.0565734939 1709165.0967907854)
생활편익시설,신한1차아파트경로당,경상남도 창원시 의창구 북면 천주로 1104(신한그린파크맨션),128.607835648,35.349265493,POINT (1100662.495152204 1706524.4578872959)
생활편익시설,신한2차아파트경로당,경상남도 창원시 의창구 북면 천주로 1103(신한2차아파트),128.607261813,35.348821907,POINT (1100610.9021245642 1706474.6767523405)
생활편익시설,양지경로당,경상남도 창원시 의창구 북면 구룡로314번길 1,128.627069534,35.30394906,POINT (1102467.4155615172 1701518.164967556)
생활편익시설,양촌경로당,경상남도 창원시 의창구 북면 운무로783번길 60,128.584891816,35.330926491,POINT (1098599.9200911694 1704467.4122867766)
생활편익시설,연동경로당,경상남도 창원시 의창구 북면 신촌본포로 186,128.626011351,35.346976832,POINT (1102316.9709164188 1706289.2528332202)
생활편익시설,북면경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.35050857,POINT (1100746.9402385177 1706663.2894480536)
생활편익시설,온천남자경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.35050857,POINT (1100746.9402385177 1706663.2894480536)
생활편익시설,온천부녀경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.35050857,POINT (1100746.9402385177 1706663.2894480536)
생활편익시설,북면경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.35050857,POINT (1100746.9402385177 1706663.2894480536)
생활편익시설,온천남자경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.35050857,POINT (1100746.9402385177 1706663.2894480536)
생활편익시설,온천부녀경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.35050857,POINT (1100746.9402385177 1706663.2894480536)
생활편익시설,외감경로당,경상남도 창원시 의창구 북면 달천길52번길 28,128.599121406,35.289982816,POINT (1099943.580086858 1699940.6579032454)
생활편익시설,외감부인경로당,경상남도 창원시 의창구 북면 달천길52번길 28,128.599121406,35.289982816,POINT (1099943.580086858 1699940.6579032454)
생활편익시설,외감경로당,경상남도 창원시 의창구 북면 달천길52번길 28,128.599121406,35.289982816,POINT (1099943.580086858 1699940.6579032454)
생활편익시설,외감부인경로당,경상남도 창원시 의창구 북면 달천길52번길 28,128.599121406,35.289982816,POINT (1099943.580086858 1699940.6579032454)
생활편익시설,월계경로당,경상남도 창원시 의창구 북면 월계길9번길 87,128.639416495,35.347646388,POINT (1103534.2512952834 1706377.4471338345)
생활편익시설,월백경로당,경상남도 창원시 의창구 북면 백월로167번길 14,128.625807083,35.321361834,POINT (1102330.6973999266 1703448.0957324666)
생활편익시설,월백부녀경로당,경상남도 창원시 의창구 북면 백월로167번길 14,128.625807083,35.321361834,POINT (1102330.6973999266 1703448.0957324666)
생활편익시설,월백경로당,경상남도 창원시 의창구 북면 백월로167번길 14,128.625807083,35.321361834,POINT (1102330.6973999266 1703448.0957324666)
생활편익시설,월백부녀경로당,경상남도 창원시 의창구 북면 백월로167번길 14,128.625807083,35.321361834,POINT (1102330.6973999266 1703448.0957324666)
생활편익시설,월촌경로당,경상남도 창원시 의창구 북면 백월로87번월촌길 54,128.620570218,35.323209178,POINT (1101852.3529512922 1703647.5872346044)
생활편익시설,중리경로당,경상남도 창원시 의창구 북면 단내로 701-14,128.593186501,35.341033536,POINT (1099341.437878131 1705596.6632466966)
생활편익시설,중방경로당,경상남도 창원시 의창구 북면 중방길 3-22,128.592172141,35.296793145,POINT (1099303.335064682 1700688.998136751)
생활편익시설,중촌경로당,경상남도 창원시 의창구 북면 하천로86번길 22-1,128.603753474,35.365740314,POINT (1100271.1849378627 1708347.5314815526)
생활편익시설,지개경로당,경상남도 창원시 의창구 북면 구룡로38번길 39,128.617357487,35.284627953,POINT (1101608.5561710557 1699365.2905360807)
생활편익시설,천수림아파트경로당,"경상남도 창원시 의창구 북면 감계로 222, 103동 지하1층 (천수림)",128.587507503,35.30178627,POINT (1098873.1215437273 1701238.115385139)
생활편익시설,청우아파트경로당,경상남도 창원시 의창구 북면 천주로1083번길 10-1,128.607183928,35.348051573,POINT (1100604.78013839 1706389.1602604007)
생활편익시설,초소경로당,경상남도 창원시 의창구 북면 외산로 207,128.594624188,35.378173171,POINT (1099426.5434332655 1709717.246072981)
생활편익시설,춘광1차아파트경로당,경상남도 창원시 의창구 북면 신촌본포로 14(춘광아파트),128.609684582,35.347287029,POINT (1100832.9629266479 1706306.9086486292)
