시설명,주소,경도,위도
의료법인갑을의료재단 갑을장유병원,김해시 장유로 167-13 (부곡동),128.805611933,35.208663980
의료법인 성념의료재단맑은샘병원,거제시 연초면 거제대로 4477,128.643652074,34.897780199
의료법인 대우의료재단대우병원,거제시 두모길 16 (두모동),128.722071482,34.871920800
의료법인 거붕 백병원,거제시 계룡로5길 14 (상동동),128.626042504,34.873627245
베데스다복음병원,양산시 신기로 28 (신기동),129.043611974,35.353245012
웅상중앙병원,양산시 서창로 59 (명동),129.164518523,35.406318672
창원튼튼i병원,창원시 의창구 원이대로 53 (도계동),128.634406475,35.257663457
바른병원,"창원시 성산구 창원천로94번길 82-18, 푸른요양병원(A동) (대원동)",128.658440801,35.237229165
더서울병원,창원시 의창구 천주로 14(서상동),128.618521099,35.263164008
창원더키움병원,"창원시 의창구 중동중앙로 95, 2층, 3층일부, 5~7층 (중동)",128.628810929,35.259493625
의료법인승현의료재단 심산서울병원,"창원시 의창구 평산로 96, 웰빙프라자 4-5층 (팔용동)",128.619571757,35.251668986
화사랑병원,"창원시 의창구 용동로83번안길 3, 화사랑메디컬 3-5층 (사림동)",128.700545844,35.238873117
구트병원,"창원시 성산구 원이대로 578, 구트병원빌딩 6층,8-12층 (중앙동)",128.677949856,35.228369434
굿모닝내과병원,창원시 의창구 사화로 6 (팔용동),128.608641516,35.257259836
의료법인 상원의료재단 창원힘찬병원,창원시 의창구 의창대로 45 (소계동),128.605881649,35.255898971
the큰병원,"창원시 의창구 우곡로217번길 10 (명서동, 지하1,2층지상2,3,4,5,6,7,8층)",128.648798392,35.239727782
모란여성병원,"창원시 성산구 마디미서로 56 (상남동, 2,3,4,5,6,7,10층)",128.680701765,35.220636868
메트로병원,창원시 의창구 평산로219번길 3 (중동),128.625806641,35.260872916
상남굿모닝내과병원,"창원시 성산구 상남로 73 (상남동, 서울메디컬빌딩6,7층)",128.679868854,35.220636590
씽씽(singsing)병원,"창원시 성산구 중앙대로 104, 마이우스빌딩 301.201-2호 (상남동)",128.680927665,35.223474669
허&리병원,"창원시 의창구 지귀로 6 (봉곡동, 1,2,3,5,6층)",128.648889722,35.243944296
서울패밀리병원,"창원시 성산구 마디미서로 54, 서울아동병원(2,7,8,9,11,12층) (상남동)",128.680885890,35.220840872
창원중앙병원,창원시 성산구 대암로 40-4 (남양동),128.700705113,35.213950313
윤병원,창원시 의창구 서상로12번길 57 (서상동),128.620563959,35.261970272
홍익재활병원,창원시 성산구 신촌로134번길 43 (신촌동),128.624298030,35.196607915
의료법인신화성의료재단 잘본병원,창원시 마산회원구 합포로 285(양덕동),128.587087774,35.222931722
키즈웰소아청소년과병원,"창원시 마산회원구 용마로 130, 메트로센텀 5,11층 (양덕동)",128.586123448,35.223620035
양덕서울아동병원,창원시 마산회원구 양덕로 190 (석전동),128.580409698,35.234273205
서울병원,창원시 마산회원구 3·15대로 653 (석전동),128.576881037,35.231654441
신마산서울아동병원,"창원시 마산합포구 문화동15길 25 (창포동3가, 롯데빌리지)",128.560967837,35.181762653
베스트수병원,"창원시 마산회원구 양덕로 190 (석전동, 바른몸빌딩)",128.580409698,35.234273205
은혜병원,"창원시 마산합포구 해안대로 331 (남성동, 한백웨딩프라자)",128.576467827,35.201627982
365병원,창원시 마산회원구 3·15대로 686 (석전동),128.579482272,35.233757476
의료법인우암의료재단 진동태봉병원,"창원시 마산합포구 동전고개로 2, 진동태봉병원",128.511009098,35.145414092
참여성병원,"창원시 마산합포구 불종거리로 19 (동성동, 참여성병원)",128.576257536,35.206083048
삼일정풍병원,"창원시 마산합포구 3·15대로 162 (중앙동2가, 삼일정풍병원)",128.565319691,35.192606761
무룹병원,"창원시 마산합포구 3·15대로 243 (중앙동3가, 무룹병원)",128.567077449,35.200015317
서울아동병원,창원시 마산회원구 내서읍 삼계로 2 (삼계웰빙프라자빌딩),128.504442399,35.232377679
하나병원,창원시 마산합포구 합포로 110 (오동동),128.581898986,35.208048141
동마산병원,"창원시 마산회원구 3·15대로 681 (석전동, 동마산병원)",128.578327602,35.233872729
미소안재활병원,"창원시 마산회원구 3·15대로 775 (합성동, 합성메디칼센타)",128.584060123,35.240971508
의료법인위더스의료재단위더스병원,창원시 마산합포구 동서동2길 45 (신포동2가),128.572801868,35.202299388
다나병원,"창원시 진해구 진해대로1026번길 4, 더연리지 301,401호 (풍호동)",128.707118048,35.138062419
진해성모병원,"창원시 진해구 행암로 12, 엠에스빌딩 5,6층 (장천동)",128.708117107,35.130417499
희망병원,"창원시 진해구 용원로 15 (용원동, 희망병원)",128.811069358,35.100441770
우리병원,"창원시 진해구 용원로 13, 2,3,5층 (용원동)",128.810791068,35.100498093
의료법인 심연의료재단 세명병원,창원시 진해구 용원서로 42 (용원동),128.813520479,35.101298019
의료법인염광의료재단세광병원,창원시 진해구 중원동로 55-1 (중앙동),128.660928926,35.149755024
예인여성병원,창원시 진해구 진해대로 958 (자은동),128.706872210,35.144242163
서울아동병원,"창원시 진해구 진해대로776번길 27, 4,7,8층 (이동)",128.698396274,35.156159030
김취열기념의료재단 프라임병원,"진주시 명석면 나불로 305, 지하1층-지상8층",128.038817004,35.214695731
예담소아청소년과병원,"진주시 충의로 20-33, 2층 (충무공동)",128.148236660,35.175676674
의료법인 우람의료재단 세종병원,"진주시 동진로 111 (상대동, 디럭스타워 7-9층)",128.103501442,35.179654003
의료법인 행복한의료재단 센텀병원,"진주시 진주대로941번길 8, 1,2층 (강남동)",128.087658265,35.184235115
튼튼소아청소년과병원,"진주시 진양호로 206, BYC 진주빌딩 (평거동)",128.060080189,35.172581153
진주본병원,"진주시 진양호로 206, BYC 진주빌딩 4,5,6,7층 (평거동)",128.060080189,35.172581153
서울아동병원,"진주시 하대로 80, 2층,3층,5층 (하대동, 메디칼팜빌딩)",128.120368048,35.192903318
의료법인 바른의료재단 바른병원,진주시 동진로 7 (칠암동),128.091688645,35.179206849
진주미래여성병원,진주시 진주대로 957 (강남동),128.087334720,35.185253173
진주세란병원,진주시 진주대로 829 (주약동),128.093170799,35.174369660
진주복음병원,진주시 진양호로 370 (신안동),128.069384911,35.185382813
반도병원,진주시 남강로 701 (장대동),128.088159816,35.191782662
통영고려병원,통영시 중앙로 310,128.428835029,34.857892882
서울아동병원,"통영시 중앙로 334-1, 4~9층",128.429173271,34.860065111
통영서울병원,통영시 광도면 남해안대로 857,128.415510024,34.869974928
신세계로병원,통영시 정동2길 58,128.430319842,34.843737551
의료법인승연의료재단 삼천포서울병원,사천시 남일로 33 (동금동),128.080251827,34.933402091
사천서울아동병원,사천시 사천읍 선평길 17 (서울아동병원),128.091421947,35.080148281
삼천포제일병원,"사천시 중앙로 136 (벌리동, 삼천포제일병원)",128.079512953,34.937538870
하나병원,"사천시 사천읍 진삼로 1468-8, 하나병원",128.086488346,35.082218567
더프라임병원,"김해시 경원로55번길 12, 1층~5층,9층 (내동)",128.866609768,35.238235021
김해바른병원,"김해시 가락로 42, 4~7층 (부원동)",128.882430322,35.230273763
더(the)큰병원,"김해시 분성로 208, 3~10층 (외동)",128.869597256,35.230209042
우리여성병원,김해시 내외중앙로 91 (내동),128.867014594,35.238183493
아이사랑병원,김해시 활천로 22 (삼정동),128.893990051,35.229469898
삼성아동병원,"김해시 삼계중앙로 36, 6~8층 (삼계동)",128.868982310,35.260258945
의료법인 신의료재단 김해삼승병원,김해시 김해대로 2335 (부원동),128.882335842,35.226639311
(의)경빈의료재단 김해센텀병원,"김해시 구지로 56, 김해센텀병원 지하2~4층 (내동)",128.869293456,35.239300765
김해굿모닝병원,"김해시 분성로 444, 굿모닝병원 지하1층,2~5층 (삼정동)",128.894708817,35.234754732
김해아동병원,"김해시 내외중앙로 74, 6,7층 (내동, 밝은메디칼센터)",128.867383404,35.236474529
굿모닝대홍병원,김해시 분성로 180 (외동),128.866364674,35.229711731
김해사랑병원,김해시 금관대로 1263 (내동),128.858564625,35.237958739
감청수병원,"김해시 김해대로 2459 (삼정동, 감청수병원)",128.895887072,35.227899726
의료법인환명의료재단 금강병원,김해시 가락로 20 (부원동),128.883070899,35.228396083
진영새싹병원,"김해시 진영읍 본산로 15-17, 굿프라임시티 301,303,304호",128.736587670,35.306684721
서울새싹병원,"김해시 율하3로 53, 303,701,703,801호 (율하동)",128.814825146,35.172811581
율하꿈나무병원,"김해시 율하3로 38, 7,8층 702,801호 (율하동)",128.814376308,35.171266987
메가병원,김해시 계동로 237 (대청동),128.803893619,35.191336407
의료법인영진의료재단 엠아이병원,"김해시 번화1로 36, 501,601,701,801호 (대청동)",128.800877251,35.190748324
의료법인한서의료재단 진영병원,김해시 진영읍 김해대로334번길 9,128.727395298,35.305897042
나노병원,밀양시 중앙로 229(삼문동),128.757771633,35.483996947
미르아이병원,"밀양시 미리벌중앙로 67, 2~4층(삼문동)",128.748427213,35.483750498
밀양병원,밀양시 밀양대로 1823(삼문동),128.748304567,35.487235900
의료법인 생명사랑의료재단 밀양윤병원,밀양시 삼문중앙로 32(삼문동),128.755595077,35.484551960
의료법인 지원의료재단 굿모닝병원,밀양시 용평로5길 4-20(용평동),128.767925773,35.490297992
제일병원,밀양시 노상하4길 4(내이동),128.748386163,35.496201867
행복한병원,밀양시 하남읍 수산중앙로 56-2,128.711496937,35.374734220
맑은샘센텀병원,거제시 거제대로 3762 (옥포동),128.688909965,34.892103243
대우아동병원,"거제시 옥포대첩로 38, 유라빌딩 2,3,4,6층 (옥포동)",128.691807818,34.893533531
서울아동병원,거제시 서문로5길 6 (고현동),128.621054439,34.889223931
거제아동병원,거제시 동문천로 52 (고현동),128.626209114,34.882930015
사회복지법인내원 마하재활병원,거제시 동부면 율포로 555-11 (마하의료원),128.601169015,34.806864984
거제중앙병원,거제시 고현로 89 (고현동),128.622249726,34.886630334
힘나는병원,"양산시 물금읍 부산대학로 130, 3,4,6,7,9층 5층일부호",129.010034968,35.317210024
단디병원,"양산시 강변로 442, 늘푸른빌딩 3,5,6,7층 (중부동)",129.027160674,35.338627318
더이로운병원,"양산시 양산대로 886, 4층~10층 (북부동)",129.037008622,35.349528251
본바른병원,"양산시 물금읍 청운로 343, 양산바른빌딩 1층일부, 4층~10층",129.015265897,35.326993332
양산아이들병원,"양산시 물금읍 청운로 354, 아이시티 6~7층",129.016920170,35.327213071
서울패미리병원,"양산시 물금읍 증산역로 135, 퍼스트조양 6.7층",129.005293215,35.310584903
웅상센텀힐병원,양산시 평산로 11 (평산동),129.153746117,35.381289950
이레 아이병원,"양산시 물금읍 청운로 185, 504~507, 601~605호",129.002859597,35.317224544
양산제일병원,"양산시 동면 금오로 255, 3층일부4~8층 301,302호 (양산에이치타워)",129.027261506,35.316047715
웅상좋은아이병원,양산시 평산로 12 (평산동),129.153684799,35.381811242
의령병원,의령군 의령읍 의병로14길 10,128.258657400,35.318644492
아라한국병원,함안군 산인면 학산2길 17-50,128.431720338,35.274276493
영동병원,함안군 칠원읍 용산2길 45-13,128.515624162,35.308900111
태황의료재단한성병원,창녕군 창녕읍 교리1길 2,128.492925497,35.542150090
의료법인창녕서울의료재단창녕서울병원,창녕군 창녕읍 창녕대로 122,128.496923290,35.534229995
강병원,고성군 중앙로 49,128.325348128,34.974153928
더 조은병원,고성군 동외로 142,128.326386391,34.973626139
의료법인 이도의료재단 남해병원,남해군 남해읍 화전로 169,127.894250124,34.846469205
함양성심병원,함양군 함양읍 고운로 70,127.729312414,35.520702202
의료법인아림의료재단서경병원,"거창군 거창읍 송정1길 24-13, 서경병원",127.897588347,35.681164356
중앙메디컬병원,"거창군 거창읍 거창대로1길 7-2, 2~7층",127.916787671,35.687347682
삼성합천병원,합천군 합천읍 대야로 876,128.163345748,35.566477660
더앞선치과병원,"창원시 성산구 마디미로16번길 9, 서우빌딩 6층 601호 (상남동)",128.683975227,35.223252417
램브란트치과병원,"창원시 성산구 상남로 73 (상남동, 서울메디컬빌딩5층)",128.679868854,35.220636590
화인치과병원,"창원시 성산구 중앙대로 99 (중앙동, 신한은행빌딩3,4,5층)",128.679342915,35.223841895
고운치과병원,"창원시 성산구 원이대로 595, 고운메디컬빌딩 (용호동)",128.680165931,35.228009038
라온치과병원,"창원시 마산회원구 양덕로 194 (석전동, 영광약국)",128.580146804,35.234419326
창원진해연세스위트치과병원,"창원시 진해구 진해대로 752, 아리온시네마빌딩 3층 304,309호 (석동)",128.697466774,35.158808305
진해라온치과병원,창원시 진해구 진해대로 765 (석동),128.699127482,35.158996462
온치과병원,"창원시 진해구 진해대로776번길 27, 5층 (이동, 온메디칼빌딩)",128.698396274,35.156159030
우리들치과병원,"진주시 동진로 111, 1층 (상대동, 한보프라자)",128.103501442,35.179654003
진주미르치과병원,"진주시 진주대로 922, 4,5,7층 (칠암동)",128.089526220,35.182687963
우가주치과병원,"김해시 전하로 287, 지하1층~5층 B01,101,201,301,401,501호 (외동)",128.870858138,35.228754291
부원뉴욕치과병원,"김해시 가락로 19, 401호 (부원동, 아름다운뉴욕메디컬센터)",128.882195934,35.228349536
삼계뉴욕치과병원,김해시 가야로 193 (삼계동),128.872354322,35.260322010
자기치아살리기365일야간드림플란트치과병원,김해시 김해대로 2361 (부원동),128.885050939,35.226901653
뉴욕치과병원,김해시 내외중앙로 86 (내동),128.867537216,35.237592742
장유뉴욕치과병원,김해시 계동로 221 (대청동),128.802324262,35.190779356
미르치과병원,"거제시 거제중앙로 1930-11, 2,3,4층(고현동)",128.623154916,34.890802933
고운가이드치과병원,"거제시 거제중앙로 1925, 3층(고현동)",128.622080932,34.889847483
메디칼치과병원,"거제시 거제중앙로 1932, 6층(고현동)",128.622393110,34.890439105
더이로운치과병원,"양산시 양산대로 886, 2층 (북부동)",129.037008622,35.349528251
유어스치과병원,"양산시 양산역로 71, 8,9층 (중부동, 노바메디컬케어)",129.028755691,35.335709003
의료법인 피앤케이의료재단 인생한방병원,"창원시 성산구 중앙대로 64, 신텍타워 2,3층 201.301호 (상남동)",128.678239960,35.220406743
명작한방병원,"창원시 성산구 상남로 126, 세종엠필드 4-5층 (상남동)",128.683633170,35.224089349
라라한방병원,"창원시 성산구 마디미서로 26, 한독빌딩 8층,9층,10층 1003호 (상남동)",128.682580322,35.222834256
예이재한방병원,"창원시 의창구 용동로 45, 현대썬앤빌 더 스퀘어 A동 5-6층 (사림동)",128.697251916,35.236404716
유니한방병원,"창원시 의창구 평산로 102, 녹주빌딩 2,3층 (팔용동)",128.619969731,35.252160791
창원 당당한방병원,"창원시 성산구 원이대로 674, 당당한방병원 지하1층, 3-8층 (상남동)",128.686829299,35.223300478
창원자생한방병원,"창원시 성산구 원이대로682번길 8, SH빌딩 (상남동)",128.686891106,35.222533965
의료법인 청민의료재단 몸편한한방병원,창원시 의창구 남산로1번길 60 (팔용동),128.616818524,35.261341910
자연안에 한방병원,"창원시 마산회원구 양덕로 144, 상현메디컬빌딩 (양덕동)",128.584164271,35.231267266
의료법인한결의료재단 자연한방병원,창원시 마산합포구 진전면 회진로 742-45,128.424023533,35.057319564
강추한방병원,"창원시 마산회원구 3·15대로 686, 365병원 본관동 5,7,8,10층 501,701,801,1003호 (석전동)",128.579482272,35.233757476
선운한방병원,"진주시 진주대로915번길 1, 1~9층 (강남동)",128.089245532,35.181705749
장덕한방병원,"진주시 촉석로 178, 지하1, 1~3층 (중안동)",128.081420579,35.194371222
진주한방병원,"진주시 진주대로 1180, 1~4층 (봉곡동)",128.074027838,35.195172650
동서양한방병원,"통영시 원문로 27, 3,4,5층",128.425565512,34.857254805
경희선한방병원,"김해시 삼계중앙로 42, 4,6,7,8층 401,601,701,803호 (삼계동)",128.869860204,35.260333369
당당한방병원,"김해시 가락로 23, 5~9층 (부원동)",128.882166689,35.228653906
베스트한방병원,"김해시 구지로 58, 2,3,4층 502호 (내동, 한일빌딩)",128.869542021,35.239276594
자연힐한방병원,"김해시 번화1로56번길 2, 101, 104, 105, 201, 301호 외 3호 (대청동)",128.800897606,35.192274093
튼튼한방병원,"밀양시 밀양대로 1855(삼문동, 1~2층)",128.746330898,35.489583556
새힘한방병원,"양산시 양산역로 101, 2,4,5,6,7층 (중부동)",129.029108309,35.338356179
양산더존한방병원,"양산시 물금읍 청운로 349, 세정에스타 5~6층",129.015733893,35.327509048
합천한방병원,합천군 합천읍 대야로 890,128.163668344,35.567807186
예정요양병원,"창원시 의창구 팔용로 319, 반계동 요양병원 A동 지하1~지상4층 (반계동)",128.605533848,35.247864942
의료법인승인의료재단동창원요양병원,"창원시 의창구 동읍 의창대로 870-5, 동창원요양병원 1,2,3,4층 지하1층(103호)호",128.686713751,35.278091774
서라벌요양병원,"창원시 의창구 남산로17번길 28, 2층, 3층 (팔용동, 팔용에이스빌딩 2,3층)",128.614392510,35.260547073
시티요양병원,창원시 의창구 대봉로26번길 12-3 (봉림동),128.668484341,35.251139337
북면이화요양병원,창원시 의창구 북면 천주로 1092,128.608201826,35.348023397
의료법인 자은의료재단 덕산요양병원,창원시 의창구 동읍 의창대로 882,128.687086176,35.278350184
창원삼성요양병원,창원시 의창구 의안로2번길 31 (소답동),128.627196691,35.261688117
행복한요양병원,창원시 의창구 북면 천주로 785-1,128.600534859,35.323752987
푸른요양병원,"창원시 성산구 창원천로94번길 82-18, 푸른요양병원(B동) (대원동)",128.658440801,35.237229165
성미카엘요양병원,창원시 의창구 사림로45번길 4-11 (사림동),128.678434963,35.247710175
희연요양병원,"창원시 성산구 원이대로393번길 25, 희연빌딩 2-3층, 지하1-2층 일부호 (반지동)",128.662575225,35.239959265
성운요양병원,창원시 마산회원구 내서읍 함마대로 2694-72,128.506649460,35.254907793
복음요양병원,"창원시 마산회원구 3·15대로 850, 복음요양병원 (합성동)",128.589545918,35.245409882
한마음요양병원,"창원시 마산합포구 오동동10길 73, 2-3층 (오동동, 서광아침의빛)",128.581134579,35.207310840
의료법인혜주의료재단 더편한요양병원,창원시 마산합포구 진동면 삼진의거대로 826,128.500396430,35.128263070
친절요양병원,"창원시 마산합포구 현동로 38, 4-10층 (우산동)",128.552941424,35.151874834
의료법인벽암의료재단 큰바다요양병원,창원시 마산합포구 수산1길 262-2 (오동동),128.583296589,35.204887563
의료법인합포의료재단마산우리요양병원,"창원시 마산합포구 해안대로 35 (해운동, MH우리병원)",128.562446605,35.180941143
의료법인예경의료재단예경요양병원,"창원시 마산합포구 중앙서1길 25 (대성동2가, 예경노인병원)",128.561938277,35.193755999
의료법인청록의료재단신세계요양병원,창원시 마산회원구 내서읍 죽암로 89 (신세계요양병원),128.509169011,35.259964036
의료법인성인의료재단이에이씨창원요양병원,창원시 마산합포구 가포로 652 (덕동동),128.579016890,35.141950372
한일요양병원,"창원시 마산합포구 남성로 167 (동성동, 한마빌딩)",128.578127141,35.205648559
의료법인태산의료재단 큰사랑요양병원,창원시 마산회원구 북성로 469 (두척동),128.546867670,35.236306184
의료법인굿모닝의료재단굿모닝요양병원,"창원시 마산회원구 봉양로 7 (양덕동, 동방프라자)",128.587939324,35.221543822
경희요양병원,"창원시 마산합포구 3·15대로 243, 7~11층 (중앙동3가)",128.567077449,35.200015317
의료법인승도의료재단메트로요양병원,창원시 마산회원구 3·15대로 597 (석전동),128.573638522,35.227420481
의료법인석영의료재단효도투석요양병원,"창원시 마산회원구 3·15대로 878 (구암동, 효도병원)",128.592329526,35.246835651
의료법인정다운사람들의료재단정다운요양병원,"창원시 마산회원구 봉양로 160 (봉암동, 정다운요양병원)",128.603752506,35.217564508
의료법인영민의료재단소망노인전문병원,창원시 마산합포구 무학로 402 (자산동),128.560444287,35.204918852
메트로요양병원,"창원시 진해구 용원로 37 (용원동, 블루마운틴)",128.813384759,35.099985330
참좋은요양병원,창원시 진해구 충장로 154 (충무동),128.668835514,35.151766298
늘푸른요양병원,창원시 진해구 충장로 181 (여좌동),128.671922666,35.152709654
용원휴요양병원,창원시 진해구 남의로 150 (두동),128.795775833,35.115794870
한빛요양병원,"진주시 대신로 120, 한빛요양병원 지하2층 2층-9층층 (상평동)",128.118594710,35.171120953
진주중앙요양병원,"진주시 촉석로 178, 지하1층,지상1~5층 (중안동)",128.081420579,35.194371222
의료법인 행복한의료재단 센텀요양병원,"진주시 진주대로941번길 8, B1,2,1,3~7층 (강남동, 센텀병원)",128.087658265,35.184235115
엠마우스요양병원,"진주시 남강로 25 (평거동, 엠마우스요양병원)",128.040466860,35.166313303
의료법인 진주의료재단 진주노인요양병원,"진주시 문산읍 제곡길98번길 41, 지하1, 1~5층",128.175965321,35.153225062
의료법인 목화의료재단 목화요양병원,진주시 천수로163번길 25 (망경동),128.081829678,35.178568207
충무요양병원,통영시 남해안대로 760,128.424376832,34.865620674
의료법인 진주의료재단 경남도립통영노인전문병원,통영시 도산면 남해안대로 1818,128.359596881,34.912936094
의료법인 한림의료재단 효성요양병원,"통영시 용남면 남해안대로 523, 1,4,5층",128.441243929,34.862031590
온요양병원,"사천시 사천읍 구암두문로 154-28, 온요양병원",128.102557987,35.087611460
의료법인 삼포의료재단 현대요양병원,"사천시 각산로 86 (서동, 미진예식장)",128.065440759,34.930383403
의료법인 행복한의료재단 사천중앙요양병원,"사천시 사천읍 옥산로 127, 3~7층",128.096978390,35.079059672
의료법인 덕산의료재단 한마음노인요양병원,사천시 향촌4길 127 (향촌동),128.098551346,34.935260455
의료법인이은의료재단 이은요양병원,김해시 상동면 상동로 194,128.893586582,35.301701663
의료법인에스씨의료재단 파크힐요양병원,김해시 생림면 인제로 593,128.888917744,35.278174932
(의)수의료재단 서청솔요양병원,김해시 금관대로1084번길 15 (흥동),128.850683165,35.224099615
서종요양병원,김해시 김해대로2492번길 54-7 (삼정동),128.904586650,35.226950818
의료법인백경의료재단김해강남요양병원,김해시 평전로 83 (외동),128.855978808,35.238323910
이화수로요양병원,김해시 분성로261번길 15 (봉황동),128.874438691,35.234113699
의료법인 서원탑의료재단 서원요양병원,"김해시 가락로 83, 2,3,4,5층 (서상동)",128.881193624,35.234170853
의료법인경빈의료재단 김해센텀요양병원,"김해시 구지로 58, 6~10층 (내동)",128.869542021,35.239276594
한가족요양병원,김해시 전하로 234 (전하동),128.872542745,35.224528714
의료법인 오남의료재단 인제요양병원,김해시 가야로 210 (삼계동),128.871992876,35.258759959
의료법인 문용의료재단 천사요양병원,김해시 분성로 433 (삼정동),128.893320072,35.235068802
(의)밀성학원의료재단 성모요양병원,김해시 김해대로 2479-1 (삼정동),128.898042103,35.228120475
의료법인 리드의료재단 다정한요양병원,김해시 김해대로 2453 (삼정동),128.894931186,35.227965109
의료법인 송파의료재단 가야요양병원,김해시 주촌면 이지산단로 155,128.838901508,35.224673911
의료법인수의료재단 청솔요양병원,김해시 김해대로2529번길 35 (삼정동),128.902774143,35.231744349
청보요양병원,"김해시 해반천로168번길 38, 3,4층 (삼계동)",128.871401393,35.263233011
녹십자요양병원,김해시 호계로 416 (부원동),128.885476773,35.227568089
(의)환명의료재단 경상남도립김해노인전문병원,김해시 김해대로 1814-39 (삼계동),128.861007370,35.261616226
의료법인푸른솔의료재단 김해한솔재활요양병원,김해시 김해대로 2379 (부원동),128.887260376,35.227173232
강민의료재단 나누리요양병원,김해시 진례면 진례로74번길 47,128.753395281,35.239575775
청담요양병원,김해시 진영읍 김해대로 132-1,128.710123977,35.299000274
의료법인신화성의료재단 장유요양병원,"김해시 번화1로56번길 19, 2,4~11층 (대청동)",128.802563743,35.193243315
사단법인한국경로복지회 우리요양병원,"김해시 대청로210번길 24, 장유엔트로빌딩 7,8,9층 (대청동)",128.797385632,35.193869693
재단법인그루터기장유은혜요양병원,"김해시 금관대로 592, 2~5층 (무계동)",128.814820024,35.201257059
대민의료생활협동조합 온세상요양병원,김해시 대청로210번길 12-23 (대청동),128.796815173,35.192850970
의료법인만전의료재단장유효요양병원,"김해시 능동로155번길 10-15, 새미래네오피아 4층 (부곡동)",128.808026440,35.203598061
의료법인한솔의료재단 한서재활요양병원,김해시 진영읍 진영로454번길 102-10,128.753072221,35.292538533
의료법인하은의료재단 장유제일요양병원,"김해시 번화1로79번길 4, 다인메디컬센타 (대청동)",128.798880464,35.194373067
의료법인 영남루의료재단 갤러리의아침요양병원,밀양시 내이신촌1길 14(내이동),128.735072762,35.505000571
